Scientifc_name,Status,Senior_Junior_synonym,Combination
"Axelrodia fowleri Géry, 1965",synonym,junior,original
"Axelrodia riesei Géry, 1966",accepted,senior,original
"Axelrodia lindeae Géry, 1973",accepted,senior,original
"Aphyodite grammica Eigenmann, 1912",accepted,senior,original
"Aphyodite apiaka Esguícero & Castro, 2017",accepted,senior,original
"Aphyodite tupebas Esguícero & Castro, 2017",accepted,senior,original
"Leptobrycon jatuaranae Eigenmann, 1915",accepted,senior,original
"Oxybrycon parvulus Géry, 1964",accepted,senior,original
"Tyttobrycon xeruini Géry, 1973",accepted,senior,original
"Tyttobrycon dorsimaculatus Géry, 1973",accepted,senior,original
"Tyttobrycon hamatus Géry, 1973",accepted,senior,original
"Tyttobrycon spinosus Géry, 1973",accepted,senior,original
"Tyttobrycon marajoara Marinho, Bastos & Menezes, 2013",accepted,senior,original
"Cheirodon pisciculus Girard, 1855",accepted,senior,original
"Cheirodon annae McAtee, 1903",synonym,junior,original
"Cheirodon interruptus (Jenyns, 1842)",accepted,senior,new
"Tetragonopterus interruptus Jenyns, 1842",synonym,senior,original
"Chirodon monodon Cope, 1894",synonym,junior,original
"Cheirodon meinkeni Ahl, 1928",synonym,junior,original
"Hyphessobrycon nigrifrons Ahl, 1936",synonym,junior,original
"Cheirodon leuciscus Ahl, 1936",synonym,junior,original
"Pedalibrycon felipponei Fowler, 1943",synonym,junior,original
"Cheirodon ibicuhiensis Eigenmann, 1915",accepted,senior,change in rank
"Cheirodon interruptus ibicuhiensis Eigenmann, 1915",synonym,senior,original
"Cheirodon parahybae Eigenmann, 1915",accepted,senior,original
"Cheirodon australe Eigenmann, 1928",accepted,senior,original
"Cheirodon galusdae Eigenmann, 1928",provisionally accepted,senior,original
"Cheirodon jaguaribensis Fowler, 1941",accepted,senior,original
"Cheirodon luelingi Géry, 1964",accepted,senior,original
"Cheirodon ortegai Vari & Géry, 1980",accepted,senior,original
"Cheirodon kiliani Campos, 1982",accepted,senior,original
"Cheirodontops geayi Schultz, 1944",accepted,senior,original
"Odontostilbe fugitiva Cope, 1870",accepted,senior,original
"Odontostilbe drepanon Fowler, 1913",synonym,junior,original
"Odontostilbe madeirae Fowler, 1913",synonym,junior,original
"Odontostilbe caquetae Fowler, 1943",synonym,junior,original
"Odontostilbe pulchra (Gill, 1858)",accepted,senior,new
"Poecilurichthys pulcher Gill, 1858",synonym,senior,original
"Odontostilbe pequira (Steindachner, 1882)",accepted,senior,new
"Chirodon pequira Steindachner, 1882",synonym,senior,original
"Odontostilbe trementinae Eigenmann & Kennedy, 1903",synonym,junior,original
"Odontostilbe paraguayensis Eigenmann & Kennedy, 1903",accepted,senior,original
"Odontostilbe microcephala Eigenmann, 1907",accepted,senior,original
"Odontostilbe microcephalus Eigenmann, 1907",synonym,senior,original
"Odontostilbe stenodon (Eigenmann, 1915)",accepted,senior,new
"Cheirodon stenodon Eigenmann, 1915",synonym,senior,original
"Odontostilbe dierythrura Fowler, 1940",accepted,senior,original
"Odontostilbe hasemani Fowler, 1940",synonym,junior,original
"Odontostilbe euspilurus (Fowler, 1945)",accepted,senior,new
"Deuterodon euspilurus Fowler, 1945",synonym,senior,original
"Odontostilbe littoris (Géry, 1960)",accepted,senior,new
"Cheirodon gracilis littoris Géry, 1960",synonym,senior,original
"Odontostilbe roloffi Géry, 1972",accepted,senior,original
"Odontostilbe dialeptura (Fink & Weitzman, 1974)",accepted,senior,new
"Cheirodon dialepturus Fink & Weitzman, 1974",synonym,senior,original
"Odontostilbe mitoptera (Fink & Weitzman, 1974)",accepted,senior,new
"Cheirodon mitopterus Fink & Weitzman, 1974",synonym,senior,original
"Odontostilbe ecuadorensis Bührnheim & Malabarba, 2006",accepted,senior,original
"Odontostilbe nareuda Bührnheim & Malabarba, 2006",accepted,senior,original
"Odontostilbe parecis Bührnheim & Malabarba, 2006",accepted,senior,original
"Odontostilbe pao Bührnheim & Malabarba, 2007",accepted,senior,original
"Odontostilbe splendida Bührnheim & Malabarba, 2007",accepted,senior,original
"Aphyocheirodon hemigrammus Eigenmann, 1915",accepted,senior,original
